x	+-red(A)	rekurzija(B)	1/+red(C)	clanova
0	1.000000e+00	1.000000e+00	1.000000e+00	2
10	4.539994e-05	4.539994e-05	4.539993e-05	45
20	6.164185e-09	5.644333e-10	2.061154e-09	73
30	6.103055e-06	-8.553015e-05	9.357623e-14	101
40	3.116952e-01	1.470264e-01	4.248354e-18	128
50	2.041833e+03	-7.015776e+03	1.928750e-22	156
60	7.227457e+08	-1.223051e+09	8.756511e-27	183
70	4.594081e+12	1.514176e+13	3.975450e-31	210
80	2.450820e+17	6.772466e+17	1.804851e-35	238
90	-5.865799e+21	-7.884988e+21	8.194013e-40	265
100	8.144653e+25	-2.875658e+26	3.720076e-44	292
