r	            yL	            yp	            dyp	             ys	            yp - ys
2.829177e+00	2.228958e+02	2.228958e+02	-8.927961e-04	2.229663e+02	7.046944e-02
2.929177e+00	1.558060e+02	1.558060e+02	1.569115e-04	1.557685e+02	3.750576e-02
3.029177e+00	1.069118e+02	1.069118e+02	4.706933e-04	1.066820e+02	2.298663e-01
3.129177e+00	7.157971e+01	7.157971e+01	1.686848e-04	7.148732e+01	9.239274e-02
3.229177e+00	4.629867e+01	4.629867e+01	-1.356593e-04	4.631014e+01	1.147288e-02
3.329177e+00	2.841945e+01	2.841945e+01	-1.550730e-04	2.838645e+01	3.299865e-02
3.429177e+00	1.595133e+01	1.595133e+01	-1.436145e-05	1.594970e+01	1.631976e-03
3.529177e+00	7.406831e+00	7.406831e+00	7.431178e-05	7.378695e+00	2.813561e-02
3.629177e+00	1.682623e+00	1.682623e+00	4.945539e-05	1.655376e+00	2.724714e-02
3.729177e+00	-2.033183e+00	-2.033183e+00	-1.410971e-05	-2.031263e+00	1.919584e-03
3.829177e+00	-4.333830e+00	-4.333830e+00	-3.726623e-05	-4.343444e+00	9.613948e-03
3.929177e+00	-5.650318e+00	-5.650318e+00	-1.334833e-05	-5.654264e+00	3.946288e-03
4.029177e+00	-6.294049e+00	-6.294049e+00	1.545621e-05	-6.296251e+00	2.201712e-03
4.129177e+00	-6.488374e+00	-6.488374e+00	1.807752e-05	-6.494456e+00	6.082614e-03
4.229177e+00	-6.391793e+00	-6.391793e+00	7.953406e-07	-6.391949e+00	1.560286e-04
4.329177e+00	-6.115264e+00	-6.115264e+00	-1.203359e-05	-6.116623e+00	1.359713e-03
4.429177e+00	-5.735282e+00	-5.735282e+00	-8.246424e-06	-5.736804e+00	1.521309e-03
4.529177e+00	-5.303770e+00	-5.303770e+00	3.542592e-06	-5.303731e+00	3.938695e-05
4.629177e+00	-4.855344e+00	-4.855344e+00	8.614419e-06	-4.856235e+00	8.914930e-04
4.729177e+00	-4.412478e+00	-4.412478e+00	2.974229e-06	-4.412763e+00	2.847728e-04
4.829177e+00	-3.989106e+00	-3.989106e+00	-4.961934e-06	-3.989187e+00	8.099408e-05
4.929177e+00	-3.593165e+00	-3.593165e+00	-5.904593e-06	-3.593473e+00	3.083959e-04
5.029177e+00	-3.228479e+00	-3.228479e+00	1.422796e-07	-3.228474e+00	4.257738e-06
5.129177e+00	-2.896179e+00	-2.896179e+00	5.343267e-06	-2.896196e+00	1.762702e-05
5.229177e+00	-2.595740e+00	-2.595740e+00	3.723192e-06	-2.595777e+00	3.708301e-05
5.329177e+00	-2.325676e+00	-2.325676e+00	-2.313221e-06	-2.325673e+00	3.384635e-06
5.429177e+00	-2.083957e+00	-2.083957e+00	-5.337664e-06	-2.083975e+00	1.815781e-05
5.529177e+00	-1.868265e+00	-1.868265e+00	-1.710305e-06	-1.868275e+00	9.716595e-06
5.629177e+00	-1.676165e+00	-1.676165e+00	4.199152e-06	-1.676133e+00	3.169387e-05
5.729177e+00	-1.505251e+00	-1.505251e+00	5.084055e-06	-1.505218e+00	3.290519e-05
5.829177e+00	-1.353251e+00	-1.353251e+00	-5.901382e-07	-1.353252e+00	7.095114e-07
5.929177e+00	-1.218085e+00	-1.218085e+00	-6.217130e-06	-1.218070e+00	1.438351e-05
6.029177e+00	-1.097871e+00	-1.097871e+00	-4.371212e-06	-1.097864e+00	6.478748e-06
6.129177e+00	-9.909081e-01	-9.909081e-01	3.853154e-06	-9.908988e-01	9.301238e-06
6.229177e+00	-8.956625e-01	-8.956625e-01	8.643633e-06	-8.956340e-01	2.848137e-05
6.329177e+00	-8.107646e-01	-8.107646e-01	2.445104e-06	-8.107597e-01	4.822875e-06
6.429177e+00	-7.350076e-01	-7.350076e-01	-9.265610e-06	-7.350079e-01	3.732768e-07
6.529177e+00	-6.673289e-01	-6.673289e-01	-1.146551e-05	-6.673298e-01	8.901567e-07
6.629177e+00	-6.067811e-01	-6.067811e-01	2.751214e-06	-6.067776e-01	3.469817e-06
6.729177e+00	-5.525142e-01	-5.525142e-01	1.908784e-05	-5.524799e-01	3.426110e-05
6.829177e+00	-5.037842e-01	-5.037842e-01	1.348888e-05	-5.037629e-01	2.126974e-05
6.929177e+00	-4.599700e-01	-4.599700e-01	-1.682005e-05	-4.599881e-01	1.813402e-05
7.029177e+00	-4.205617e-01	-4.205617e-01	-3.754066e-05	-4.205974e-01	3.575761e-05
7.129177e+00	-3.851046e-01	-3.851046e-01	-8.637618e-06	-3.851134e-01	8.826141e-06
7.229177e+00	-3.531381e-01	-3.531381e-01	5.551256e-05	-3.530773e-01	6.075115e-05
7.329177e+00	-3.241987e-01	-3.241987e-01	7.090374e-05	-3.241262e-01	7.256412e-05
7.429177e+00	-2.979069e-01	-2.979069e-01	-2.909355e-05	-2.979336e-01	2.672696e-05
7.529177e+00	-2.740512e-01	-2.740512e-01	-1.644639e-04	-2.741906e-01	1.394422e-04
7.629177e+00	-2.525307e-01	-2.525307e-01	-1.168799e-04	-2.526249e-01	9.424256e-05
7.729177e+00	-2.331354e-01	-2.331354e-01	2.089670e-04	-2.329729e-01	1.624987e-04
7.829177e+00	-2.153832e-01	-2.153832e-01	4.767065e-04	-2.150376e-01	3.455387e-04
7.929177e+00	-1.987284e-01	-1.987284e-01	7.470644e-05	-1.986784e-01	5.002091e-05
8.029177e+00	-1.831392e-01	-1.831392e-01	-1.004494e-03	-1.837616e-01	6.224056e-04
8.129177e+00	-1.694036e-01	-1.694036e-01	-1.349550e-03	-1.701806e-01	7.770045e-04
8.229177e+00	-1.583103e-01	-1.583103e-01	8.855010e-04	-1.578368e-01	4.734746e-04
8.329177e+00	-1.488830e-01	-1.488830e-01	4.575122e-03	-1.466036e-01	2.279454e-03
8.429177e+00	-1.378334e-01	-1.378334e-01	3.299398e-03	-1.363019e-01	1.531470e-03
8.529177e+00	-1.229681e-01	-1.229681e-01	-8.769043e-03	-1.267552e-01	3.787167e-03
8.629177e+00	-1.093444e-01	-1.093444e-01	-2.126870e-02	-1.178989e-01	8.554492e-03
8.729177e+00	-1.093436e-01	-1.093436e-01	-1.084154e-03	-1.097489e-01	4.052653e-04
8.829177e+00	-1.260541e-01	-1.260541e-01	6.852133e-02	-1.023062e-01	2.374788e-02
