x	10**-1	error	10**-2	error	10**-3	error	10**-4	error	10**-5	error	10**-6	error
0	1.000834e+00	8.336112e-04	1.000008e+00	8.333358e-06	1.000000e+00	8.362855e-08	1.000000e+00	6.077471e-09	1.000000e+00	8.274037e-08	1.000089e+00	8.890058e-05
1	2.720548e+00	2.265990e-03	2.718304e+00	2.265242e-05	2.718282e+00	2.269882e-07	2.718282e+00	3.780617e-08	2.718288e+00	5.988602e-06	2.718714e+00	4.323142e-04
2	7.395216e+00	6.159600e-03	7.389118e+00	6.157567e-05	7.389057e+00	6.168924e-07	7.389056e+00	2.358918e-08	7.389040e+00	1.560835e-05	7.389644e+00	5.883530e-04
3	2.010228e+01	1.674353e-02	2.008570e+01	1.673800e-04	2.008554e+01	1.670929e-06	2.008554e+01	1.338494e-07	2.008555e+01	1.407701e-05	2.007994e+01	5.599211e-03
4	5.464366e+01	4.551363e-02	5.459861e+01	4.549861e-04	5.459815e+01	4.572257e-06	5.459815e+01	2.163689e-06	5.459796e+01	1.883259e-04	5.459810e+01	4.621734e-05
5	1.485369e+02	1.237189e-01	1.484144e+02	1.236780e-03	1.484132e+02	1.237072e-05	1.484132e+02	3.622085e-07	1.484131e+02	1.083647e-04	1.484182e+02	5.007543e-03
6	4.037651e+02	3.363027e-01	4.034322e+02	3.361919e-03	4.034288e+02	3.360592e-05	4.034288e+02	5.230459e-07	4.034280e+02	8.180222e-04	4.034746e+02	4.579358e-02
7	1.097547e+03	9.141656e-01	1.096642e+03	9.138642e-03	1.096633e+03	9.177092e-05	1.096633e+03	8.273501e-06	1.096632e+03	8.268187e-04	1.096851e+03	2.174519e-01
8	2.983443e+03	2.484960e+00	2.980983e+03	2.484140e-02	2.980958e+03	2.458691e-04	2.980958e+03	2.849982e-05	2.980960e+03	1.847489e-03	2.977686e+03	3.272333e+00
9	8.109839e+03	6.754821e+00	8.103151e+03	6.752593e-02	8.103085e+03	6.755600e-04	8.103084e+03	7.149047e-07	8.103088e+03	4.548188e-03	8.101779e+03	1.305124e+00
10	2.204483e+04	1.836151e+01	2.202665e+04	1.835545e-01	2.202647e+04	1.836997e-03	2.202647e+04	5.475187e-05	2.202643e+04	3.206897e-02	2.201705e+04	9.418054e+00
